Timestamp,%MEM,RSS_KB,VSZ_KB,Command
2026-02-14 15:35:37,0.0,10028,20856,python3
2026-02-14 15:35:38,1.6,273700,2813636,python3
2026-02-14 15:35:39,3.1,513976,5161044,python3
2026-02-14 15:35:40,3.8,620756,5381748,python3
2026-02-14 15:35:41,4.4,716764,5661288,python3
2026-02-14 15:35:42,5.1,822844,5839668,python3
2026-02-14 15:35:43,5.7,919388,5888648,python3
2026-02-14 15:35:44,6.2,1011808,6098728,python3
2026-02-14 15:35:45,6.8,1109832,6149268,python3
2026-02-14 15:35:46,7.5,1210156,6201060,python3
2026-02-14 15:35:47,8.9,1447264,6709132,python3
2026-02-14 15:35:48,8.7,1408512,6624264,python3
2026-02-14 15:35:49,9.3,1506912,6674008,python3
2026-02-14 15:35:50,9.9,1603704,6726700,python3
2026-02-14 15:35:51,9.7,1565892,6654480,python3
2026-02-14 15:35:52,10.3,1672456,6857220,python3
2026-02-14 15:35:53,11.1,1794540,6857220,python3
2026-02-14 15:35:54,7.2,1161712,6102668,python3
2026-02-14 15:35:55,7.7,1256336,6217100,python3
2026-02-14 15:35:56,7.9,1283404,6274444,python3
2026-02-14 15:35:57,8.1,1314216,6274444,python3
2026-02-14 15:35:58,8.6,1392744,6463520,python3
2026-02-14 15:35:59,8.9,1436148,6463520,python3
2026-02-14 15:36:00,9.1,1481712,6463520,python3
2026-02-14 15:36:01,9.4,1528916,6537904,python3
2026-02-14 15:36:02,9.7,1572884,6767280,python3
2026-02-14 15:36:03,10.0,1612196,6767280,python3
2026-02-14 15:36:04,10.2,1647392,6767280,python3
2026-02-14 15:36:05,10.4,1683080,6767280,python3
2026-02-14 15:36:06,9.7,1574496,6618508,python3
2026-02-14 15:36:07,10.3,1662236,6755744,python3
2026-02-14 15:36:08,10.9,1768372,6892976,python3
2026-02-14 15:36:09,9.4,1524088,6574508,python3
2026-02-14 15:36:10,7.4,1193704,6140964,python3
2026-02-14 15:36:11,7.8,1263384,6226988,python3
2026-02-14 15:36:12,8.0,1290596,6284332,python3
2026-02-14 15:36:13,8.2,1321956,6284332,python3
2026-02-14 15:36:14,8.3,1351028,6399020,python3
2026-02-14 15:36:15,8.8,1434108,6497520,python3
2026-02-14 15:36:16,9.1,1472144,6497520,python3
2026-02-14 15:36:17,9.3,1512400,6497520,python3
2026-02-14 15:36:18,9.9,1597152,6956276,python3
2026-02-14 15:36:19,9.8,1592568,6825392,python3
2026-02-14 15:36:20,10.1,1634468,6825392,python3
2026-02-14 15:36:21,10.4,1676628,6825392,python3
2026-02-14 15:36:22,9.8,1580556,6628396,python3
2026-02-14 15:36:23,10.2,1650228,6701384,python3
2026-02-14 15:36:24,10.7,1733848,6920336,python3
2026-02-14 15:36:25,11.4,1839452,6920336,python3
2026-02-14 15:36:26,7.2,1176216,6116848,python3
2026-02-14 15:36:27,7.6,1228544,6170768,python3
2026-02-14 15:36:28,7.9,1285288,6228116,python3
2026-02-14 15:36:29,8.1,1313208,6285460,python3
2026-02-14 15:36:30,8.5,1384600,6357864,python3
2026-02-14 15:36:31,8.8,1423464,6472552,python3
2026-02-14 15:36:32,9.0,1464012,6472552,python3
2026-02-14 15:36:34,9.3,1504936,6544952,python3
2026-02-14 15:36:35,9.5,1545960,6544952,python3
2026-02-14 15:36:36,9.8,1584188,6774328,python3
2026-02-14 15:36:37,10.0,1624920,6774328,python3
2026-02-14 15:36:38,10.2,1659300,6774328,python3
2026-02-14 15:36:39,10.5,1700220,6774328,python3
2026-02-14 15:36:40,9.8,1592500,6629524,python3
2026-02-14 15:36:41,10.4,1685788,6784200,python3
2026-02-14 15:36:42,11.1,1796240,6927296,python3
2026-02-14 15:36:43,9.7,1570760,6614140,python3
2026-02-14 15:36:44,7.5,1220768,6162680,python3
2026-02-14 15:36:45,8.1,1313028,6277500,python3
2026-02-14 15:36:46,8.3,1340076,6334844,python3
2026-02-14 15:36:47,8.4,1368500,6334844,python3
2026-02-14 15:36:48,8.5,1380772,6347364,python3
2026-02-14 15:36:49,8.8,1418924,6462052,python3
2026-02-14 15:36:50,9.0,1459068,6462052,python3
2026-02-14 15:36:51,9.3,1501000,6539208,python3
2026-02-14 15:36:52,10.6,1722644,6997964,python3
2026-02-14 15:36:53,9.8,1580884,6768584,python3
2026-02-14 15:36:54,10.0,1622552,6768584,python3
2026-02-14 15:36:55,10.3,1665452,6774796,python3
2026-02-14 15:36:56,10.6,1709680,6775292,python3
2026-02-14 15:36:57,10.1,1639644,6702704,python3
2026-02-14 15:36:58,10.5,1708000,6767020,python3
2026-02-14 15:36:59,11.0,1778428,6895652,python3
2026-02-14 15:37:00,9.8,1589924,6638384,python3
2026-02-14 15:37:01,7.5,1210564,6155384,python3
2026-02-14 15:37:02,7.8,1272144,6213464,python3
2026-02-14 15:37:03,8.2,1329940,6270812,python3
2026-02-14 15:37:04,8.4,1358280,6328156,python3
2026-02-14 15:37:05,8.5,1372192,6337296,python3
2026-02-14 15:37:06,8.7,1410160,6451984,python3
2026-02-14 15:37:07,8.9,1449932,6451984,python3
2026-02-14 15:37:08,9.2,1492152,6522236,python3
2026-02-14 15:37:09,9.5,1534372,6524536,python3
2026-02-14 15:37:10,9.7,1572464,6753912,python3
2026-02-14 15:37:11,10.0,1614504,6755700,python3
2026-02-14 15:37:12,10.2,1656904,6755700,python3
2026-02-14 15:37:13,10.5,1699940,6893108,python3
2026-02-14 15:37:14,10.0,1627380,6712816,python3
2026-02-14 15:37:15,10.5,1694756,6783672,python3
2026-02-14 15:37:16,10.9,1764816,6925384,python3
2026-02-14 15:37:17,11.4,1847736,6925384,python3
2026-02-14 15:37:18,7.5,1212008,6156500,python3
2026-02-14 15:37:19,7.8,1268552,6213340,python3
2026-02-14 15:37:20,8.2,1326008,6270688,python3
2026-02-14 15:37:21,8.3,1353516,6328032,python3
2026-02-14 15:37:22,8.4,1366780,6335296,python3
2026-02-14 15:37:23,8.7,1404836,6449984,python3
2026-02-14 15:37:24,8.9,1445980,6518060,python3
2026-02-14 15:37:25,9.2,1486092,6518060,python3
2026-02-14 15:37:26,9.4,1528148,6518208,python3
2026-02-14 15:37:27,9.7,1566096,6748404,python3
2026-02-14 15:37:28,9.9,1606696,6748404,python3
2026-02-14 15:37:29,10.2,1646792,6748404,python3
2026-02-14 15:37:30,10.4,1686260,6878580,python3
2026-02-14 15:37:31,10.0,1619488,6678920,python3
2026-02-14 15:37:32,10.6,1716484,6784244,python3
2026-02-14 15:37:33,11.4,1838184,6924676,python3
2026-02-14 15:37:34,9.7,1565384,6617348,python3
2026-02-14 15:37:35,7.7,1250200,6187900,python3
2026-02-14 15:37:36,8.1,1321248,6273920,python3
2026-02-14 15:37:37,8.3,1348880,6331264,python3
2026-02-14 15:37:38,8.4,1356320,6338936,python3
2026-02-14 15:37:39,8.6,1394076,6453624,python3
2026-02-14 15:37:40,8.8,1434116,6455484,python3
2026-02-14 15:37:41,9.1,1473408,6521004,python3
2026-02-14 15:37:42,9.3,1514344,6521004,python3
2026-02-14 15:37:43,9.6,1553116,6752948,python3
2026-02-14 15:37:44,9.9,1596292,6757816,python3
2026-02-14 15:37:45,10.1,1637128,6757816,python3
2026-02-14 15:37:46,10.4,1678196,6757816,python3
2026-02-14 15:37:47,9.8,1588300,6631648,python3
2026-02-14 15:37:48,10.4,1690492,6803304,python3
2026-02-14 15:37:49,11.1,1796712,6948184,python3
2026-02-14 15:37:50,9.9,1610048,6658420,python3
2026-02-14 15:37:51,7.6,1232692,6172372,python3
2026-02-14 15:37:52,8.0,1289800,6230524,python3
